sysname Tnuc
LJ_fcc110_a7e7 216.6
LJ_fcc110_a7e8 217.34
LJ_fcc110_a7e9 219.42
LJ_fcc110_a7e10 219.28
LJ_fcc110_a8e1 201.58
LJ_fcc110_a8e2 206.88
LJ_fcc110_a8e3 228.0
LJ_fcc110_a8e4 230.02
LJ_fcc110_a8e5 231.2
LJ_fcc110_a8e6 233.66
LJ_fcc110_a8e7 236.36
LJ_fcc110_a8e8 235.78
LJ_fcc110_a8e9 234.94
LJ_fcc110_a8e10 238.22
LJ_fcc110_a9e1 200.44
LJ_fcc110_a9e2 211.7
LJ_fcc110_a9e3 242.16
LJ_fcc110_a9e4 245.76
LJ_fcc110_a9e5 245.94
LJ_fcc110_a9e6 247.3
LJ_fcc110_a9e7 248.04
LJ_fcc110_a9e8 247.9
LJ_fcc110_a9e9 247.9
LJ_fcc110_a9e10 248.9
LJ_fcc110_a10e1 200.0
LJ_fcc110_a10e2 211.34
LJ_fcc110_a10e3 246.34
LJ_fcc110_a10e4 249.14
LJ_fcc110_a10e5 249.34
LJ_fcc110_a10e6 248.78
LJ_fcc110_a10e7 249.04
LJ_fcc110_a10e8 248.98
LJ_fcc110_a10e9 249.86
LJ_fcc110_a10e10 248.6
LJ_fcc211_a1e1 206.34
LJ_fcc211_a1e2 214.72
LJ_fcc211_a1e3 215.3
LJ_fcc211_a1e4 204.42
LJ_fcc211_a1e5 202.04
LJ_fcc211_a1e6 200.0
LJ_fcc211_a1e7 200.0
LJ_fcc211_a1e8 200.0
LJ_fcc211_a1e9 200.0
LJ_fcc211_a1e10 200.0
LJ_fcc211_a2e1 205.76
LJ_fcc211_a2e2 212.24
LJ_fcc211_a2e3 216.3
LJ_fcc211_a2e4 200.0
LJ_fcc211_a2e5 200.0
LJ_fcc211_a2e6 200.0
LJ_fcc211_a2e7 200.0
LJ_fcc211_a2e8 200.0
LJ_fcc211_a2e9 200.0
LJ_fcc211_a2e10 200.0
LJ_fcc211_a3e1 203.3
LJ_fcc211_a3e2 207.68
LJ_fcc211_a3e3 200.0
LJ_fcc211_a3e4 200.0
LJ_fcc211_a3e5 200.0
LJ_fcc211_a3e6 200.0
LJ_fcc211_a3e7 200.0
LJ_fcc211_a3e8 200.0
LJ_fcc211_a3e9 200.0
LJ_fcc211_a3e10 200.0
LJ_fcc211_a4e1 200.0
LJ_fcc211_a4e2 204.26
LJ_fcc211_a4e3 206.02
LJ_fcc211_a4e4 200.0
LJ_fcc211_a4e5 200.0
LJ_fcc211_a4e6 201.34
LJ_fcc211_a4e7 203.56
LJ_fcc211_a4e8 204.34
LJ_fcc211_a4e9 204.6
LJ_fcc211_a4e10 202.14
LJ_fcc211_a5e1 200.0
LJ_fcc211_a5e2 207.54
LJ_fcc211_a5e3 209.12
LJ_fcc211_a5e4 204.1
LJ_fcc211_a5e5 208.38
LJ_fcc211_a5e6 210.82
LJ_fcc211_a5e7 212.82
LJ_fcc211_a5e8 217.76
LJ_fcc211_a5e9 215.14
LJ_fcc211_a5e10 216.2
LJ_fcc211_a6e1 200.0
LJ_fcc211_a6e2 201.16
LJ_fcc211_a6e3 217.78
LJ_fcc211_a6e4 218.06
LJ_fcc211_a6e5 218.64
LJ_fcc211_a6e6 219.84
LJ_fcc211_a6e7 219.32
LJ_fcc211_a6e8 220.26
LJ_fcc211_a6e9 219.78
LJ_fcc211_a6e10 220.3
LJ_fcc211_a7e1 200.0
LJ_fcc211_a7e2 202.16
LJ_fcc211_a7e3 217.24
LJ_fcc211_a7e4 214.28
LJ_fcc211_a7e5 213.96
LJ_fcc211_a7e6 211.3
LJ_fcc211_a7e7 211.18
LJ_fcc211_a7e8 209.64
LJ_fcc211_a7e9 208.86
LJ_fcc211_a7e10 206.18
LJ_fcc211_a8e1 200.0
LJ_fcc211_a8e2 205.38
LJ_fcc211_a8e3 207.18
LJ_fcc211_a8e4 202.58
LJ_fcc211_a8e5 206.24
LJ_fcc211_a8e6 206.96
LJ_fcc211_a8e7 208.88
LJ_fcc211_a8e8 207.28
LJ_fcc211_a8e9 206.2
LJ_fcc211_a8e10 202.62
LJ_fcc211_a9e1 200.0
LJ_fcc211_a9e2 205.02
LJ_fcc211_a9e3 208.02
LJ_fcc211_a9e4 210.7
LJ_fcc211_a9e5 209.44
LJ_fcc211_a9e6 212.76
LJ_fcc211_a9e7 215.16
LJ_fcc211_a9e8 215.78
LJ_fcc211_a9e9 218.96
LJ_fcc211_a9e10 221.06
LJ_fcc211_a10e1 200.0
LJ_fcc211_a10e2 202.02
LJ_fcc211_a10e3 209.06
LJ_fcc211_a10e4 215.46
LJ_fcc211_a10e5 218.92
LJ_fcc211_a10e6 219.1
LJ_fcc211_a10e7 213.64
LJ_fcc211_a10e8 210.4
LJ_fcc211_a10e9 205.52
LJ_fcc211_a10e10 209.06
OH_HEX_d2.0_0.05 211.14
OH_HEX_d2.0_0.20 209.78
OH_HEX_d2.5_0.05 265.1
OH_HEX_d2.5_0.20 264.66
OH_HEX_d2.7_0.05 242.16
OH_HEX_d2.7_0.20 241.46
OH_HEX_d3.0_0.05 203.36
OH_HEX_d3.0_0.20 200.0
OH_HEX_d3.2_0.05 200.0
OH_HEX_d3.2_0.20 200.0
OH_HEX_d3.5_0.05 200.7
OH_HEX_d3.5_0.20 200.0
OH_HEX_d4.0_0.05 200.0
